1.75,68
1.65,55
1.81,99
1.7,69
1.6,52
1.95,86
1.59,45
1.8,65
1.93,87
1.85,75
1.86,0
1.86,70
1.78,0
1.85,79
1.77,72
1.7,65
1.83,90
1.72,66
1.68,62
1.8,85
1.78,63
1.65,55
1.73,60
1.75,65
1.68,62
1.75,68
1.89,75
1.75,62
1.7,80
1.77,74
1.82,0
1.65,60
1.78,0
1.55,55
1.9,80
1.76,56
1.69,67
1.7,73
1.78,70
1.8,96
1.82,64
1.68,60
1.65,66
1.85,0
1.65,64
1.7,65
1.64,54
1.88,88
1.85,100
1.78,65
1.78,62
1.7,65
1.55,50
1.74,0
1.9,100
1.8,72
1.6,60
1.86,75
1.8,75
1.87,84
1.85,75
1.85,0
1.8,70
1.85,75
1.76,65
1.78,73
1.7,65
1.76,78
1.58,50
1.7,67
1.7,66
1.85,123
1.75,65
1.74,68
1.6,60
1.7,65
1.78,0
1.64,60
1.69,63
1.7,55
1.75,80
1.78,62
1.92,105
1.74,70
1.8,76
1.72,70
1.8,69
1.72,68
1.71,63
1.8,73
1.75,68
1.8,77
1.76,90
1.75,60
1.8,93
1.66,57
1.8,62
1.7,63
1.72,54
1.82,73
1.67,63
1.7,65
1.8,87
1.76,67
1.92,85
1.7,98
1.7,59
1.8,92
1.74,72
1.8,72
1.79,68
0,0
1.92,83
1.75,68
1.83,70
1.72,64
1.82,91
1.85,95
1.73,77
1.94,100
1.65,55
1.65,55
1.67,58
1.7,0
1.75,0
1.83,72
1.84,85
1.64,66
1.8,73
1.6,50
1.73,66
2.01,102
1.74,80
1.8,84
1.83,84
1.81,82
1.8,82
1.79,72
1.63,52
1.77,72
1.87,100
1.66,64
1.84,84
1.98,87
1.75,72
1.63,55
2,95
1.75,68
1.64,63
1.74,67
1.67,70
1.72,69
1.95,94
1.85,78
1.68,63
1.69,59
1.92,82
1.73,63
1.75,65
1.77,72
1.78,78
1.73,81
1.8,80
1.71,59
1.98,95
1.76,75
1.73,80
1.83,77
1.81,85
1.97,88
1.87,97
1.85,66
1.93,89
1.91,88
1.75,78
1.93,92
1.83,84
1.92,90
1.66,60
1.88,92
1.65,0
1.9,91
1.82,80
1.65,55
1.92,68
1.86,81
1.97,107
1.64,58
1.7,76
1.72,64
1.95,84
1.86,127
1.88,95
1.75,74
1.69,72
1.68,76
1.9,100
1.86,88
1.78,83
1.77,82
1.74,61
1.83,80
1.78,82
1.8,76
1.72,0
1.67,60
1.75,75
1.88,81
1.8,110
1.6,63
1.7,71
1.82,76
1.73,78
1.67,70
2.06,97
1.87,83
1.75,72
1.81,74
1.86,91
1.68,75
1.78,79
1.78,74
1.68,60
1.98,97
1.85,77
1.85,90
1.92,86
1.74,73
1.8,80
1.65,60
1.78,70
1.9,74
1.8,81
1.82,81
1.75,80
1.65,0
1.66,70
2.04,106
1.97,105
1.86,70
1.81,79
1.86,82
1.68,60
1.77,74
1.69,73
1.88,88
1.72,75
1.71,64
1.95,92
1.78,71
1.73,59
1.7,68
1.69,65
1.91,98
1.76,63
1.6,57
1.72,57
2.04,108
1.74,73
1.65,64
1.6,60
1.98,91
1.79,79
1.77,73
2.09,105
1.71,58
1.8,68
1.7,68
1.58,48
1.6,53
1.58,58
1.71,68
1.62,50
1.67,49
1.69,63
1.85,98
1.69,56
1.74,85
1.75,76
1.85,74
1.97,94
1.63,58
1.74,65
1.85,84
1.76,74
1.78,72
1.9,88
1.67,70
1.77,70
1.76,77
1.6,65
1.64,62
1.87,85
2,84
1.68,76
1.65,71
1.93,88
1.71,71
2.02,85
1.9,86
1.92,92
1.85,90
1.84,89
1.5,48
1.96,96
1.5,48
1.81,74
1.74,75
1.6,50
1.72,70
2.08,109
1.73,70
1.8,100
1.57,54
1.8,80
1.6,47
1.74,80
1.69,64
1.88,93
1.74,77
1.87,82
1.84,73
1.75,77
1.89,93
2,94
1.67,57
1.82,70
1.78,64
1.73,71
1.7,62
1.64,65
1.76,65
1.61,59
1.75,70
1.74,57
1.64,52
1.61,70
1.84,75
1.8,77
1.92,0
1.7,56
1.8,77
1.7,84
1.73,0
1.66,76
1.9,98
1.6,55
1.6,0
1.7,65
1.7,60
1.61,57
1.64,54
1.9,100
1.8,144
1.65,58
1.52,48
1.73,0
1.73,60
1.75,75
1.86,125
1.93,75
1.64,55
1.77,86
1.66,67
1.66,59
1.66,0
1.57,69
1.8,152
1.81,105
1.58,73
1.86,92
1.72,0
1.65,60
1.72,67
